id,name,aliases
179,"Crab Walk","Crab Crawl"
101,"Crunch","Ab Crunch"
201,"Curtsy Lunge","Curtsy"
196,"Cyclist Squat","Heel-Elevated Squat"
96,"Dead Bug","Deadbug"
237,"Dead Hang","Passive Hang"
71,"Deadlift","Conventional Deadlift"
3,"Decline Press","Decline Bench Press"
8,"Decline Push-Up","Feet-Elevated Push-Up"
225,"Deep Squat Hold","Squat Pry"
9,"Dip","Chest Dip"
210,"Donkey Calf Raise","Bent-Over Calf Raise"
227,"Doorway Pec Stretch","Doorway Chest Stretch"
247,"Elliptical","Cross Trainer"
36,"External Rotation","Shoulder External Rotation"
26,"Face Pull","Rope Face Pull"
110,"Farmer Carry","Farmers Walk; Farmer's Carry"
231,"Figure-Four Stretch","Piriformis Stretch"
183,"Floor Press","Dumbbell Floor Press"
88,"Frog Pump","Frog Bridge"
111,"Front Rack Carry","Rack Carry"
33,"Front Raise","Anterior Raise"
55,"Front Squat","Front-Loaded Squat"
78,"Glute Bridge","Bridge"
85,"Glute Kickback","Cable Kickback"
56,"Goblet Squat","Goblet"
76,"Good Morning","Barbell Good Morning"
236,"Grip Squeeze","Hand Gripper"
233,"Groin Stretch","Butterfly Stretch"
57,"Hack Squat","Hack Machine Squat"
168,"Half-Kneeling Landmine Press","Kneeling Landmine Press"
40,"Hammer Curl","Neutral-Grip Curl"
230,"Hamstring Stretch","Seated Hamstring Stretch"
188,"Handstand Push-Up","HSPU"
104,"Hanging Knee Raise","Knee Raise"
105,"Hanging Leg Raise","Leg Raise"
217,"Heel Tap","Side Heel Touch"
213,"Heel Walk","Heel Walking"
18,"High Row","High Cable Row"
86,"Hip Abduction","Abductor"
87,"Hip Adduction","Adductor"
130,"Hip Airplane","Airplane"
136,"Hip Flexor Stretch","Half-Kneeling Hip Flexor Stretch"
77,"Hip Thrust","Barbell Hip Thrust"
218,"Hollow Hold","Hollow Body Hold"
219,"Hollow Rock","Hollow Body Rock"
5,"Incline Chest Fly","Incline Fly"
42,"Incline Curl","Incline Dumbbell Curl"
2,"Incline Press","Incline Bench Press"
7,"Incline Push-Up","Elevated Push-Up"
37,"Internal Rotation","Shoulder Internal Rotation"
25,"Inverted Row",""
223,"Jefferson Curl","Segmental Roll Down"
248,"Jump Rope","Skipping Rope"
174,"Kettlebell Clean","KB Clean"
173,"Kettlebell Deadlift","KB Deadlift"
172,"Kettlebell Goblet Squat","KB Goblet Squat"
175,"Kettlebell Press","KB Press"
176,"Kettlebell Snatch","KB Snatch"
113,"Kettlebell Swing","KB Swing"
134,"Knee-to-Wall Ankle Mobilization","Ankle Dorsiflexion Mobilization"
167,"Landmine Press","Landmine Shoulder Press"
170,"Landmine Romanian Deadlift","Landmine RDL"
171,"Landmine Rotation","Landmine Twist; Full Contact Twist"
16,"Landmine Row","T-Bar Landmine Row"
169,"Landmine Squat","Landmine Goblet Squat"
20,"Lat Pulldown","Pulldown; Lat Pull Down"
228,"Lat Stretch","Bench Lat Stretch"
117,"Lateral Bound","Skater Jump"
65,"Lateral Lunge","Side Lunge"
32,"Lateral Raise","Side Raise"
202,"Lateral Step-Up","Side Step-Up"
82,"Leg Curl","Hamstring Curl"
68,"Leg Extension","Knee Extension"
58,"Leg Press","45-Degree Leg Press"
19,"Low Row","Low Cable Row"
62,"Lunge","Forward Lunge"
140,"Machine Chest Press","Chest Press Machine"
143,"Machine Pulldown","Pulldown Machine"
142,"Machine Row","Seated Row Machine"
141,"Machine Shoulder Press","Shoulder Press Machine"
189,"Meadows Row","Landmine One-Arm Row"
119,"Medicine Ball Chest Pass","Med Ball Chest Pass"
121,"Medicine Ball Rotational Throw","Rotational Wall Throw"
120,"Medicine Ball Slam","Ball Slam"
107,"Mountain Climber","Mountain Climbers"
234,"Neck Isometric","Cervical Isometric"
83,"Nordic Hamstring Curl","Nordic Curl"
14,"One-Arm Row","Single-Arm Row"
112,"Overhead Carry","Waiter Carry"
29,"Overhead Press","Shoulder Press; Military Press"
49,"Overhead Triceps Extension","Overhead Extension"
98,"Pallof Press","Anti-Rotation Press"
199,"Pause Squat","Paused Squat"
144,"Pec Deck","Machine Fly"
191,"Pendlay Row","Dead-Stop Row"
148,"Pendulum Squat","Pendulum"
187,"Pike Push-Up","Pike Press"
94,"Plank","Front Plank"
220,"Plank Shoulder Tap","Shoulder Tap"
118,"Pogo Jump","Pogos"
41,"Preacher Curl","Preacher Biceps Curl"
11,"Pullover","Dumbbell Pullover"
23,"Pull-Up","Pullup"
31,"Push Press","Power Press"
6,"Push-Up","Pushup"
232,"Quad Stretch","Standing Quad Stretch"
192,"Rack Pull","Partial Deadlift"
34,"Rear Delt Row","Wide-Elbow Row"
221,"Renegade Row","Plank Row"
103,"Reverse Crunch","Hip Lift Crunch"
45,"Reverse Curl","Pronated Curl"
27,"Reverse Fly","Rear Delt Fly"
81,"Reverse Hyperextension","Reverse Hyper"
63,"Reverse Lunge","Backward Lunge"
145,"Reverse Pec Deck","Reverse Fly Machine"
47,"Reverse Wrist Curl","Wrist Extension"
73,"Romanian Deadlift","RDL; Romanian Dead Lift"
239,"Rope Climb","Climb Rope"
12,"Row","Seated Row; Bent Row"
242,"Row Ergometer","Indoor Rowing"
108,"Russian Twist","Seated Twist"
38,"Scaption Raise","Scaption"
127,"Scapular Pull-Up","Scap Pull-Up"
126,"Scapular Push-Up","Push-Up Plus"
190,"Seal Row","Prone Row"
91,"Seated Calf Raise","Seated Calves"
226,"Shoulder Dislocate","Band Pass-Through; PVC Pass-Through"
28,"Shrug","Shoulder Shrug"
95,"Side Plank","Lateral Plank"
184,"Single-Arm Chest Press","One-Arm Press"
185,"Single-Arm Overhead Press","One-Arm Shoulder Press"
132,"Single-Leg Balance","One-Leg Balance"
92,"Single-Leg Calf Raise","One-Leg Calf Raise"
207,"Single-Leg Glute Bridge","One-Leg Bridge"
206,"Single-Leg Hip Thrust","One-Leg Hip Thrust"
205,"Single-Leg Leg Curl","One-Leg Curl"
204,"Single-Leg Leg Extension","One-Leg Extension"
203,"Single-Leg Leg Press","One-Leg Press"
75,"Single-Leg Romanian Deadlift","Single-Leg RDL"
69,"Sissy Squat","Sissy"
215,"Sit-Up","Situp"
50,"Skull Crusher","Lying Triceps Extension"
123,"Sled Pull","Sled Drag"
122,"Sled Push","Prowler Push"
84,"Sliding Leg Curl","Slider Hamstring Curl"
152,"Smith Calf Raise","Smith Machine Calf Raise"
151,"Smith Split Squat","Smith Machine Split Squat"
150,"Smith Squat","Smith Machine Squat"
197,"Spanish Squat","Spanish Squat Hold"
44,"Spider Curl","Prone Incline Curl"
60,"Split Squat","Stationary Lunge"
115,"Squat Jump","Jump Squat"
246,"Stair Climber","Stairmill"
90,"Standing Calf Raise","Calf Raise"
67,"Step-Down","Eccentric Step-Down"
66,"Step-Up","Box Step-Up"
74,"Stiff-Leg Deadlift","Stiff Leg Deadlift"
22,"Straight-Arm Pulldown","Cable Pullover; Straight Arm Pull Down"
109,"Suitcase Carry","One-Arm Carry"
194,"Sumo Deadlift","Wide-Stance Deadlift"
195,"Sumo Squat","Wide-Stance Squat"
10,"Svend Press","Plate Press"
129,"T Raise","Prone T"
17,"T-Bar Row","T Bar Row"
200,"Tempo Squat","Slow Squat"
138,"Thoracic Rotation","Open Book; T-Spine Rotation"
93,"Tibialis Raise","Toe Raise"
212,"Toe Walk","Tiptoe Walk"
72,"Trap Bar Deadlift","Hex Bar Deadlift"
245,"Treadmill Run","Treadmill Running"
244,"Treadmill Walk","Incline Walk"
52,"Triceps Kickback","Kickback"
48,"Triceps Pushdown","Pushdown; Cable Pushdown"
177,"Turkish Get-Up","TGU"
222,"Turkish Sit-Up","Half Get-Up"
35,"Upright Row","High Pull Row"
149,"V-Squat","V Squat Machine"
214,"V-Up","V Sit-Up"
180,"Walking Knee Hug","Knee Hug Walk"
64,"Walking Lunge","Walking Lunges"
181,"Walking Quad Stretch","Walking Quad Pull"
70,"Wall Sit","Wall Squat Hold"
125,"Wall Slide","Wall Angel Slide"
182,"World's Greatest Stretch","Greatest Stretch"
46,"Wrist Curl","Forearm Curl"
235,"Wrist Pronation/Supination","Pronation Supination"
128,"Y Raise","Prone Y"
186,"Z Press","Seated Floor Press"
